FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 -4.3335  3.1454 16.8868 13.8644 -2.1466 12.0896 -3.0009  21.044 30.8687  27.338  -8.954 -24.956 -7.9423 21.5421 -41.816 -16.099 27.7556 41.0647 52.9718 -98.801 -239.38 -29.901 16.6118 16.8319 16.2671 15.4168 16.6027 11.4468
 -2.4248 3.11285 17.8375 13.2944 -4.0014 8.92155 -6.1125 15.9594 25.0755 23.6595 -7.7443 -24.497 -8.1258 20.2788  -47.01 -21.529 27.7982 41.3122 50.3582 -96.059 -202.63 -30.814  16.543 16.8964  16.308 15.4945 16.6973 11.4916
  0.2124 3.56208 19.0612 12.4654  -5.974 5.57311 -9.3347  10.801 19.7981 19.6335  -6.002 -23.567 -7.5912 19.3516 -51.509 -27.005 27.8338 41.0241 47.3746  -86.73 -156.73 -31.327 16.5107  16.965  16.356 15.5611 16.7793 11.5358
 3.47123 4.56758 20.4376 11.4756 -8.0581  2.2559 -12.628 5.95336 15.1376 15.4413 -3.8169 -22.163 -6.4985 18.9026 -55.401 -32.262  27.848 40.2087 44.2075  -68.72 -103.57   -31.4 16.5054 17.0344 16.4155 15.6204  16.852 11.5795
 7.14435 6.11669 21.8236  10.438  -10.15 -0.8193 -15.839 1.76755 11.2405 11.3155 -1.3578 -20.362 -5.0654 18.9244  -58.69  -37.05 27.8579 38.9414 41.0863  -43.28 -47.775 -30.976  16.519 17.1081 16.4806 15.6751 16.9178 11.6226
 10.9797 8.10527 23.1021 9.44499 -12.088 -3.5009 -18.742 -1.5184 8.27205 7.47005 1.14583  -18.31 -3.5367 19.2426 -61.308 -41.215 27.9125 37.3319 38.2365 -14.411 4.66765 -29.993 16.5449  17.189 16.5434 15.7263 16.9769 11.6651
 14.7133 10.3426 24.1951 8.56224 -13.712 -5.7157 -21.124 -3.8232 6.35932 4.05635 3.43705 -16.189 -2.1078 19.6161 -63.154 -44.728 28.0421 35.4681 35.8055 14.6273 49.3356  -28.45 16.5774 17.2745 16.6036 15.7759 17.0289 11.7071
 18.0807 12.5642 25.0523 7.83917 -14.932 -7.4445 -22.837 -5.2007 5.56264 1.16943 5.25852  -14.18 -0.8734 19.8486 -64.133 -47.638 28.2098  33.395 33.8295 43.5918 84.3999 -26.445  16.613 17.3595 16.6665 15.8288 17.0744 11.7486
 20.8473 14.4799 25.6462 7.31703 -15.733  -8.692 -23.803 -5.7687 5.88987 -1.1141 6.39486 -12.419 0.13414 19.8413 -64.169 -49.985  28.322 31.1417 32.2788 74.0296 109.619 -24.152 16.6551 17.4426 16.7348   15.89 17.1131 11.7895
 22.8497  15.857 25.9842 7.01362 -16.137 -9.4795 -23.976 -5.6463 7.32367 -2.7085 6.73225 -10.962 0.90879 19.5865 -63.189 -51.751 28.2841 28.7579 31.1329 106.386 125.279 -21.768 16.7107 17.5268 16.8048 15.9599 17.1408 11.8299
 24.0257 16.5865 26.1094 6.91358 -16.155  -9.852 -23.342 -4.9414 9.81014 -3.5415 6.29955 -9.7788 1.49142 19.1284 -61.146 -52.861 28.0402   26.32  30.405 138.737 132.072 -19.479 16.7831 17.6144 16.8715 16.0341 17.1541 11.8697
  24.423 16.6843 26.0704 6.99013 -15.789 -9.8721 -21.934 -3.7623 13.2301 -3.5937 5.27085 -8.7837 1.97903 18.5451 -58.057 -53.228 27.5588 23.9135 30.1029 168.341 131.732 -17.433 16.8706 17.7033 16.9349 16.1072  17.155 11.9091
 24.1782 16.2612 25.8871 7.23447 -15.047 -9.6095 -19.841 -2.2221 17.4042 -2.9126 3.91765 -7.8593 2.50615  17.968 -54.018 -52.782 26.8166 21.6114 30.1957 193.435 126.911 -15.718 16.9724 17.7878 16.9972 16.1759 17.1492 11.9479
 23.4814 15.5089 25.5447 7.66041 -13.941 -9.1466 -17.186  -0.445 22.1313  -1.616 2.52552 -6.8661   3.222 17.5762 -49.169 -51.517  25.813 19.4713  30.634 213.279 119.992  -14.37  17.094 17.8635 17.0555  16.241 17.1419 11.9863
 22.5414 14.6668 25.0225 8.27855  -12.48 -8.5741 -14.091 1.43819  27.225  0.1164 1.34085 -5.6759 4.25242 17.5485 -43.662 -49.518 24.5947 17.5638 31.3977  227.46 112.231  -13.39 17.2446 17.9292 17.1027 16.3066 17.1376 12.0241
 21.5464 13.9393 24.3393 9.05874  -10.66 -7.9559 -10.659 3.31089 32.5043 2.06009 0.56416 -4.2248  5.6667 17.9969 -37.654 -46.949 23.2674 16.0122 32.5136 235.855 104.069 -12.764 17.4259 17.9841 17.1361 16.3771 17.1427 12.0615
 20.6356 13.4272 23.5857 9.90484 -8.4815 -7.2974 -6.9987 5.08146 37.7484 3.95446  0.3417 -2.5392 7.46326 18.8865 -31.338 -44.037 21.9707 14.9757 34.0069 239.277 96.3951 -12.447 17.6265 18.0233 17.1618 16.4538 17.1637 12.0983
