FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 -290.47 -329.14 36.4495 -7.4068 -210.86 -150.82 -273.55 -273.72  -236.8 -197.73 -243.51 -241.76 -440.66 -401.06 -376.05 -374.43 -15.641  -97.52 -222.66 -17.857 -22.331 3.93564 19.7557 21.0561 21.2366 20.5356 21.3776 14.6683
 -274.93 -307.06 24.8499 4.19158 -252.89 -184.72 -324.78 -321.23 -275.53 -243.69 -257.23 -241.86  -464.1 -423.49 -413.51  -409.9   -6.55 -129.01 -270.84 -3.7438 -24.889 6.54719 19.5859  21.075  21.245 20.5475 21.3495 14.6714
 -252.85  -275.4 13.4621 15.5633 -290.46 -213.91 -370.25 -361.68 -307.63 -283.22 -266.08 -237.56 -477.19 -433.68 -440.62 -431.31 4.42956 -158.12 -315.02  9.7458  -24.97 8.72768   19.48 21.0792 21.2515 20.5453 21.3245 14.6746
 -226.34 -237.13 2.43442 26.5454 -321.98 -236.61 -408.07 -393.38  -331.7 -314.49 -269.62 -228.53 -480.53 -431.43 -456.84 -438.64 16.2326 -184.13 -353.25 22.9775 -24.384 10.4189 19.4502 21.0723 21.2505 20.5338 21.3001 14.6777
 -197.18 -194.87 -8.1165  37.025 -346.36 -251.76 -436.81 -415.26 -346.77 -336.28 -267.73 -214.66 -474.82 -416.76 -462.26 -432.57  27.867 -206.45 -383.91 33.6231 -22.711  11.636 19.5054  21.062 21.2342 20.5182 21.2743 14.6808
 -166.81 -150.85 -18.062  46.892 -363.03 -259.04 -455.54 -426.89 -352.37 -347.95 -260.62  -196.1 -460.72 -389.87 -457.41 -414.21 38.4816 -224.69 -405.87 40.0429 -17.526 12.4784 19.6462 21.0536  21.203 20.5021 21.2496 14.6838
 -136.36 -106.93 -27.239 56.0091 -371.85  -258.8 -463.94 -428.49 -348.54 -349.53  -248.8 -173.26 -438.81 -351.29    -443 -385.07 47.4118 -238.63 -418.52 43.5548 -7.8553 13.1016 19.8627 21.0481 21.1664 20.4865 21.2306 14.6868
 -106.69 -64.559 -35.446 64.2025 -373.11 -251.93 -462.24 -420.83  -335.9  -341.6 -232.97 -146.88 -409.72 -302.25 -419.92 -347.12 54.2089 -248.21 -421.79 46.6832 3.45096 13.6679  20.139 21.0462 21.1336 20.4701 21.2197 14.6897
 -78.427 -24.861 -42.453 71.2636 -367.43 -239.69 -451.18 -405.18 -315.51 -325.32 -213.95 -117.92 -374.38 -244.98 -389.33 -302.75 58.6479 -253.49 -416.08 49.9044 11.4437 14.2848 20.4588 21.0505 21.1067 20.4504 21.2164 14.6926
 -52.066 11.3529 -48.022 76.9571 -355.68 -223.57 -431.91  -383.1  -288.8 -302.23 -192.62 -87.566 -334.22 -182.65 -352.74 -254.59 60.7132 -254.64 -402.23  51.139 13.1112 14.9614 20.8088 21.0618 21.0844 20.4246 21.2207 14.6955
